uprn,struprn,bduk_recognised_premises,country,postcode,lot_id,lot_name,subsidy_control_status,current_gigabit,future_gigabit,local_authority_district_ons_code,local_authority_district_ons,region_ons_code,region_ons,bduk_gis,bduk_gis_contract_scope,bduk_gis_final_coverage_date,bduk_gis_contract_name,bduk_gis_supplier,bduk_vouchers,bduk_vouchers_contract_name,bduk_vouchers_supplier,bduk_superfast,bduk_superfast_contract_name,bduk_superfast_supplier,bduk_hubs,bduk_hubs_contract_name,bduk_hubs_supplier
1.0003E+11,str100030006850,TRUE,England,DE55 1AH,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030007331,TRUE,England,DE55 1BQ,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030004467,TRUE,England,DE55 4BN,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030002378,TRUE,England,DE55 7PH,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030046167,TRUE,England,DE5 3EY,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030009775,TRUE,England,DE55 4DF,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030015348,TRUE,England,DE56 1TL,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
2E+11,str200000392351,TRUE,England,DE56 2LH,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030040251,TRUE,England,DE5 3SS,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.00032E+11,str100032017263,TRUE,England,DE5 9QB,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
